date,title,amount
2026-05-02,Mercado Vitorino,"75,61"
2026-05-02,Se Lava Sc,"34,00"
2026-05-01,Posto Lf,"7,96"
2026-04-30,"Estorno de ""Cartao de Todos Fev"" (Cartão de Todos)","- 33,40"
2026-04-29,Posto Z 7,"4,00"
2026-04-29,Tim*47996153009,"30,00"
2026-04-27,Recarga de celular,"20,00"
2026-04-26,Se Lava Sc,"34,00"
2026-04-26,Mercado Vitorino,"66,75"
2026-04-25,Posto Lf,"5,97"
2026-04-23,Mercado Vitorino,"65,14"
2026-04-23,Sociesc Ead,"301,61"
2026-04-21,Mercado Telma Ltda,"29,97"
2026-04-20,Mercado Telma,"87,90"
2026-04-20,Pag*Steam,"23,50"
2026-04-19,Se Lava Sc,"34,00"
2026-04-17,Mercado Vitorino,"74,97"
2026-04-14,Padaria Dona Helena,"95,00"
2026-04-11,Jim.Com* 64996437 Rai,"45,00"
2026-04-11,Mercado Telma,"91,97"
2026-04-11,Mercado Rubens,"384,43"
2026-04-11,Mercado Rubens,"978,43"
2026-04-11,Mercado Rubens,"23,96"
2026-04-11,Loja Hilde,"35,67"
2026-04-10,Auto Posto Chimarrao,"100,10"
2026-04-10,Posto Hubener,"209,20"
2026-04-10,Marreta Com de Materia,"104,47"
2026-04-08,Google Youtubepremium,"16,90"
2026-04-07,Pagamento recebido,"- 3.891,91"
2026-04-07,Mercado Vitorino,"40,45"
2026-04-06,Netflix.Com,"57,80"
2026-04-06,Mercadolivre*Mercadol - Parcela 1/9,"103,24"
2026-04-05,Drogaria Catarinense,"63,35"
2026-04-05,Havan Sao Bento do Sul,"149,99"
2026-04-04,Cartao de Todos Abr,"33,40"
2026-04-03,Posto Hubener,"168,60"
2026-04-03,Fredi Pneus - Parcela 6/10,"225,00"
2026-04-03,Mercadolivre*Mercadol - Parcela 4/10,"185,09"
2026-04-03,Lanchonete Rio da Pr,"75,75"
