date,title,amount
2026-06-02,Heavyhost* Fatura,"15,29"
2026-05-31,Posto Z 7,"8,00"
2026-05-30,Mercado Vitorino,"19,76"
2026-05-30,Se Lava Sc,"17,00"
2026-05-30,ClickBus - NuPay,"127,96"
2026-05-29,Tim*47996153009,"30,00"
2026-05-29,Posto Lf,"11,95"
2026-05-26,Farmacia Fiquebem,"29,83"
2026-05-25,Mercado Vitorino,"23,83"
2026-05-24,Mercado Rubens,"31,13"
2026-05-24,Se Lava Sc,"34,00"
2026-05-24,Se Lava Sc,"34,00"
2026-05-23,Farmacia Santos e Chi,"103,80"
2026-05-22,Sociesc Ead,"301,61"
2026-05-22,Posto Lf,"7,96"
2026-05-21,Mp *Aliexpress,"24,91"
2026-05-20,Mercado Telma Ltda,"34,74"
2026-05-20,Mercado Vitorino,"51,67"
2026-05-20,Farmacia Fiquebem,"20,89"
2026-05-19,Ozcasadoprodutor,"3,00"
2026-05-19,Mp *Mayarawollner,"13,00"
2026-05-19,Posto Hubener,"111,99"
2026-05-19,Parada Ze Colmeia,"35,00"
2026-05-19,Mercado Vitorino,"28,81"
2026-05-16,Oficinalanches,"96,00"
2026-05-16,Posto Hubener,"213,70"
2026-05-16,Mercado Telma Ltda,"26,08"
2026-05-16,Mercado Rubens,"26,23"
2026-05-15,Se Lava Sc,"34,00"
2026-05-15,Posto Fl,"10,98"
2026-05-14,Coperdia,"98,20"
2026-05-13,Restaurante Pisetta,"17,30"
2026-05-13,Ozcasadoprodutor,"138,00"
2026-05-12,Jim.Com* 63137931 Nae,"25,00"
2026-05-12,Posto Z 7,"5,50"
2026-05-11,Pagamento recebido,"- 4.049,78"
2026-05-10,Mercado Telma,"22,37"
2026-05-09,Adiqplu*Clinica Neurol,"600,00"
2026-05-09,Sk Lanches,"138,00"
2026-05-08,Se Lava Sc,"34,00"
2026-05-08,Jim.Com* 62632867 Iag,"25,88"
2026-05-08,Google Youtubepremium,"16,90"
2026-05-08,Posto Lf,"11,95"
2026-05-08,Posto Fl,"15,98"
2026-05-07,Mercado Vitorino,"47,27"
2026-05-06,Netflix.Com,"57,80"
2026-05-04,Cartao de Todos Mai,"33,40"
2026-05-04,Mp *Heavyhost,"15,99"
2026-05-03,Litoral Supermercados,"8,99"
2026-05-03,Pip Floresta,"48,00"
2026-05-03,Mercadolivre*Mercadol - Parcela 5/10,"185,09"
2026-05-03,Fredi Pneus - Parcela 7/10,"225,00"
2026-05-03,Mercadolivre*Mercadol - Parcela 2/9,"103,22"
